tiempo_s,Vpv_V,Ipv_A,Ppv_W,D,Vref_V,G_Wm2
0.000000,15.000000,4.954622,74.319333,0.247956,18.101997,1000.000000
0.001000,18.540580,4.559747,84.540347,0.247956,18.101997,1000.000000
0.002000,18.540176,4.559901,84.541377,0.245788,18.101997,1000.000000
0.003000,18.590757,4.540098,84.403861,0.245788,18.101997,1000.000000
0.004000,18.590754,4.540099,84.403872,0.245751,18.101997,1000.000000
0.005000,18.591616,4.539753,84.401344,0.245751,18.101997,1000.000000
0.006000,18.591616,4.539753,84.401344,0.245750,18.101997,1000.000000
0.007000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.008000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.009000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.010000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.011000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.012000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.013000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.014000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.015000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.016000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.017000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.018000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.019000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.020000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.021000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.022000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.023000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.024000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.025000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.026000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.027000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.028000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.029000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.030000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.031000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.032000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.033000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.034000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.035000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.036000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.037000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.038000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.039000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.040000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.041000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.042000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.043000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.044000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.045000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.046000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.047000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.048000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.049000,18.591631,4.539747,84.401301,0.245750,18.101997,1000.000000
0.050000,18.591631,4.539747,84.401301,0.245748,18.102051,1000.000000
0.051000,18.591682,4.539726,84.401151,0.245748,18.102051,1000.000000
0.052000,18.591682,4.539726,84.401151,0.245748,18.102051,1000.000000
0.053000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.054000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.055000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.056000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.057000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.058000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.059000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.060000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.061000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.062000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.063000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.064000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.065000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.066000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.067000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.068000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.069000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.070000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.071000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.072000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.073000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.074000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.075000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.076000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.077000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.078000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.079000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.080000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.081000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.082000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.083000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.084000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.085000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.086000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.087000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.088000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.089000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.090000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.091000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.092000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.093000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.094000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.095000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.096000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.097000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.098000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.099000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.100000,18.591683,4.539726,84.401148,0.245748,18.102051,1000.000000
0.101000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.102000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.103000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.104000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.105000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.106000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.107000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.108000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.109000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.110000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.111000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.112000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.113000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.114000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.115000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.116000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.117000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.118000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.119000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.120000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.121000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.122000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.123000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.124000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.125000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.126000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.127000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.128000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.129000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.130000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.131000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.132000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.133000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.134000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.135000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.136000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.137000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.138000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.139000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.140000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.141000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.142000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.143000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.144000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.145000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.146000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.147000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.148000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.149000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.150000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.151000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.152000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.153000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.154000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.155000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.156000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
